PRN No.,DSA(CSE2001) CAT1 (50),DSA(CSE2001) CAT2 (50),DSA(CSE2001) FAT (60),DSA(CSE2001)Grade,DMS(MAT1003) CAT1 (50),DMS(MAT1003)CAT2 (50),DMS(MAT1003)FAT (60),FEEE(ECE1002)CAT1 (50),FEEE(ECE1002) CAT2 (50),FEEE(ECE1002) FAT (60),FEEE(ECE1002) Lab (40),FEEE(ECE1002) Total (200),FEEE(ECE1002)Grade,ED(MEC1004) CAT1 (50),ED(MEC1004)CAT2 (50),ED(MEC1004)FAT (60),ED(MEC1004)Lab (40),ED(MEC1004) Total (200),CG(CSE2006) CAT1 (50),CG(CSE2006)CAT2 (50),CG(CSE2006)FAT (60),CG(CSE2006) Total (160),CG(CSE2006) Grade,FSM(MGT1020)FAT (60),FSM(MGT1020) Lab (40),FSM(MGT1020)Grade,DAA(CSE3004) CAT1 (50),DAA(CSE3004)  CAT2 (50),DAA(CSE3004) FAT (60),DAA(CSE3004) Grade,LSM(MGT1002) CAT1 (50),LSM(MGT1002) CAT2 (50),LSM(MGT1002) FAT (60),LSM(MGT1002) Grade,ADDA(MAT1002) CAT1 (50),ADDA(MAT1002) CAT2 (50),ADDA(MAT1002) FAT (60),ADDA(MAT1002) Lab (40),ADDA(MAT1002) Total (200),CSDF(CSE2011) CAT1 (50),CSDF(CSE2011) CAT2 (50),CSDF(CSE2011) FAT (60),CSDF(CSE2011) Lab (40),CSDF(CSE2011) Total (200),CN(CSE3003) CAT1 (50),CN(CSE3003) CAT2 (50),CN(CSE3003) FAT (60),CN(CSE3003) Total (160),CN(CSE3003) Grade,OOP(CSE2005) FAT (60),OOP(CSE2005) Lab (40),OOP(CSE2005) Grade,OS(CSE2008) CAT1 (50),OS(CSE2008) CAT2 (50),OS(CSE2008) FAT (60),OS(CSE2008) Lab (40),OS(CSE2008) Total (200),OS(CSE2008) Grade,SE(CSE1005) CAT1 (50),SE(CSE1005) CAT2 (50),SE(CSE1005) FAT (60),SE(CSE1005) Grade,DBMS(CSE2007) CAT1 (50),DBMS(CSE2007) CAT2 (50),DBMS(CSE2007) FAT (60),DBMS(CSE2007) Lab (40),DBMS(CSE2007) Total (200),DBMS(CSE2007) Grade,TBL(MGT1027) FAT (60),TBL(MGT1027) Lab (40),TBL(MGT1027) Grade,WT(CSE4004) CAT1 (50),WT(CSE4004) CAT2 (50),WT(CSE4004) Total (160),WT(CSE4004) Grade,CP(CSE3032) CAT1 (50),CP(CSE3032) CAT2 (50),CP(CSE3032) FAT (60),CP(CSE3032) Grade,OT(MAT2003) CAT1 (50),OT(MAT2003) CAT2 (50),OT(MAT2003) FAT (60),OT(MAT2003) Total (160),OT(MAT2003) Grade,NP(CSE3011) CAT1 (50),NP(CSE3011) CAT2 (50),NP(CSE3011) FAT (60),NP(CSE3011) Total (160),NP(CSE3011) Grade,MAD(CSE4002) CAT1 (50),MAD(CSE4002) CAT2 (50),MAD(CSE4002) Lab (40),MAD(CSE4002) Total (200),C(ONL1002) FAT (60),C(ONL1002) Lab (40),C(ONL1002) Grade,AFE(MGT1008) CAT1 (50),AFE(MGT1008) CAT2 (50),AFE(MGT1008) Total (160),AFE(MGT1008) Grade,STAT(MAT1001) ESTAT (70),STAT(MAT1001) ISTAT (30),STAT(MAT1001) FAT (60),STAT(MAT1001) Total (160),STAT(MAT1001) Grade, Sem-VI Total (940),NLP(CSE3015) CAT1 (50),NLP(CSE3015) CAT2 (50),NLP(CSE3015) Total (160),NLP(CSE3015) Grade,IML(CSE3008) CAT1 (50),IML(CSE3008) CAT2 (50),IML(CSE3008) FAT (60),OPTO(PHY2004) CAT1 (50),OPTO(PHY2004) CAT2 (50),OPTO(PHY2004) FAT (60),OPTO(PHY2004) Lab (40),OPTO(PHY2004) Total (200),OPTO(PHY2004) Grade,NANO(PHY2005) FAT (60),NANO(PHY2005) Lab (40),NANO(PHY2005) Grade,FRENCH-I(FRL1001) FAT (60),FRENCH-I(FRL1001) Lab (40),FRENCH-I(FRL1001) Total (100),FRENCH-I(FRL1001) Grade,LA(MAT2005) CAT1 (50),LA(MAT2005) CAT2 (50),LA(MAT2005) Total (100),LA(MAT2005) Grade,EVS(CHY1001) CAT1 (50),EVS(CHY1001) CAT2 (50),EVS(CHY1001) FAT (60),EVS(CHY1001) Total (160),EVS(CHY1001) Grade,NME(MAT2001) CAT1 (50),NME(MAT2001) CAT2 (50),NME(MAT2001) FAT (60),NME(MAT2001) Total (160),NME(MAT2001) Grade,ITC(CSE2013) CAT1 (50),ITC(CSE2013) CAT2 (50),ITC(CSE2013) FAT (60),ITC(CSE2013) Lab (40),ITC(CSE2013) Total (200),ITC(CSE2013) Grade,COA(ECE2002) FAT (60),COA(ECE2002) Lab (40),COA(ECE2002) Grade,SNA(CSE4008)  CAT1 (50),SNA(CSE4008) CAT2 (50),SNA(CSE4008) FAT (60),SNA(CSE4008) Total (160),SNA(CSE4008) Grade,FOM(MGT1003) CAT1 (50),FOM(MGT1003) CAT2 (50)
W79,41,22,20,4,24,23,20,33,23,19,33,108,4,36,27,24,35,122,32,25,21,78,4,21,34,5,43,23,22,5,28,27,20,4,43,23,20,21,107,36,24,21,42,123,33,25,22,80,4,20,39,5,38,22,24,40,124,5,30,25,22,4,34,24,22,40,120,4,22,38,6,31,22,73,3,30,21,20,3,36,23,23,82,4,38,27,23,88,5,37,24,38,120,20,39,5,31,19,67,4,34,21,20,75,4,575,41,24,85,4,37,23,22,43,25,21,36,125,5,21,33,5,22,45,63,6,29,18,47,2,38,23,21,82,4,68,25,21,114,6,70,27,22,37,156,6,22,41,6,61,22,21,104,6,70,28
O9,18,22,23,1,30,25,21,44,22,17,36,119,4,37,23,21,42,123,41,23,22,86,4,22,46,6,23,25,24,4,31,15,14,2,31,19,14,45,109,35,17,15,42,109,34,24,17,75,4,21,40,6,35,24,20,38,117,4,31,25,21,4,35,23,22,44,124,5,21,34,5,38,26,86,4,29,26,22,4,40,25,21,86,4,34,22,18,74,3,41,20,37,113,18,38,5,44,23,86,4,46,25,24,95,5,597,43,26,91,5,41,26,22,41,28,23,45,137,5,20,40,6,21,47,68,6,41,29,70,5,36,26,21,83,4,70,29,21,120,6,70,26,21,47,164,6,24,46,6,58,28,24,110,6,54,29
W27,63,30,25,6,59,24,23,36,25,22,40,123,5,60,28,23,34,145,47,24,21,92,5,22,44,6,54,30,25,6,49,28,24,6,43,25,21,41,130,32,27,23,44,126,50,28,22,100,6,21,45,6,44,26,22,45,137,5,28,24,22,3,44,29,24,40,137,5,21,42,6,33,28,84,4,48,27,22,5,45,27,22,94,5,46,28,23,97,5,53,25,46,147,21,42,6,38,24,82,4,39,26,23,88,5,661,40,22,81,4,50,28,24,47,24,24,47,142,6,23,47,6,23,38,67,6,43,26,69,4,43,27,23,93,5,70,28,24,122,6,70,29,24,48,171,6,23,48,6,70,25,22,117,6,70,25
O99,31,30,24,4,40,26,23,38,26,21,42,127,5,46,25,23,45,139,35,25,23,83,4,23,40,6,32,26,22,4,30,24,20,3,35,25,20,48,128,59,23,22,45,149,28,27,23,78,4,21,42,6,56,29,24,43,152,6,36,29,24,5,38,29,24,45,136,5,24,43,6,44,28,95,5,24,28,23,4,32,29,24,85,4,42,29,24,95,5,45,26,48,141,23,40,6,30,29,83,4,34,25,24,83,4,645,37,29,90,5,39,27,23,40,29,24,48,141,6,24,47,6,23,45,68,6,45,29,74,5,42,29,24,95,5,70,29,24,123,6,70,29,24,48,171,6,24,49,6,70,29,24,123,6,56,29
O83,28,22,24,3,33,24,21,29,20,18,28,95,4,31,23,20,41,115,28,19,23,70,3,22,40,6,28,28,24,4,41,21,18,4,43,19,16,40,118,38,22,19,41,120,28,20,24,72,3,21,38,5,32,29,24,42,127,5,28,28,23,4,31,29,24,36,120,4,19,37,5,28,26,76,4,22,26,22,4,23,28,23,79,4,42,26,22,90,5,36,28,38,125,22,32,5,28,29,81,4,38,29,24,91,5,602,28,26,76,4,36,27,23,38,25,21,43,127,5,24,41,6,22,47,69,6,31,28,59,3,28,26,21,75,4,63,29,24,116,6,70,29,24,48,171,6,24,48,6,54,29,24,107,6,46,29
O106,28,26,24,4,37,26,23,33,22,21,22,98,3,40,21,22,44,127,47,27,23,97,5,23,34,5,28,25,22,4,32,25,18,4,41,23,17,41,122,46,21,21,42,130,41,19,19,79,4,21,43,6,34,29,24,42,129,5,39,26,22,4,31,27,23,37,118,4,20,40,6,49,28,100,6,40,28,23,5,35,28,23,86,4,46,25,21,92,5,48,24,40,130,21,36,5,38,28,89,5,36,25,24,85,4,617,34,28,85,4,37,27,23,44,28,23,45,140,6,21,44,6,23,47,70,6,46,29,75,5,40,26,21,87,4,70,26,22,118,6,70,26,22,47,165,6,22,44,6,61,27,22,110,6,70,26
W133,29,16,19,4,46,27,22,45,25,21,41,132,5,51,23,23,40,137,36,24,21,81,4,22,43,6,56,23,20,5,38,29,21,5,35,24,22,36,117,48,28,24,39,139,35,28,24,87,4,24,48,6,54,27,24,49,154,6,36,27,24,4,37,28,23,48,136,5,21,45,6,34,25,79,4,45,23,23,5,40,24,24,88,5,43,28,24,95,5,53,28,45,149,21,46,6,35,14,65,4,36,25,23,84,4,642,48,28,99,5,50,28,24,46,28,22,42,138,5,24,47,6,22,45,71,6,38,18,56,3,50,26,24,100,6,70,29,24,123,6,70,28,24,47,169,6,24,49,6,70,27,24,121,6,70,27
W1,64,30,24,6,58,23,23,57,27,24,43,151,6,57,28,24,48,157,54,27,23,104,6,24,45,6,67,30,24,6,58,28,23,6,46,29,24,48,147,59,28,23,49,159,57,28,23,108,6,24,47,6,52,26,23,49,150,6,50,27,23,6,48,29,24,45,146,6,24,46,6,37,28,88,5,38,29,24,5,54,20,20,94,5,46,25,24,95,5,45,28,48,145,24,48,6,39,29,92,5,41,29,24,94,5,693,46,29,99,5,56,28,24,51,22,21,43,137,5,21,39,6,23,43,69,6,43,22,65,4,37,23,23,83,4,70,29,24,123,6,70,29,24,48,171,6,22,44,6,70,26,23,119,6,70,29
W3,28,25,23,4,42,26,20,34,24,22,36,116,4,44,25,21,35,125,45,20,17,82,4,21,38,5,44,21,20,4,33,27,24,4,44,22,22,29,117,44,26,23,44,137,30,28,24,82,4,24,40,6,43,26,21,43,133,5,40,28,24,5,45,27,23,41,136,5,21,40,6,46,23,88,5,48,29,23,6,48,23,19,90,5,44,23,23,90,5,47,23,40,131,22,38,6,34,15,62,2,39,26,22,87,4,607,32,24,76,4,51,24,22,42,26,21,36,125,5,23,40,6,23,48,50,4,52,22,74,5,37,24,22,83,4,70,26,22,118,6,70,20,19,32,141,6,23,45,6,70,22,22,114,6,70,28
W78,61,29,25,6,63,25,23,54,27,23,41,145,6,42,28,23,44,137,45,23,21,89,5,23,44,6,61,30,25,6,59,28,24,6,47,29,24,49,149,55,26,22,49,152,46,27,24,97,5,24,44,6,55,28,23,48,154,6,50,26,24,6,51,29,24,41,145,6,23,43,6,46,29,99,5,38,26,22,4,43,26,24,93,5,53,28,23,104,6,51,28,47,150,22,44,6,29,29,82,4,37,29,24,90,5,683,50,29,103,6,46,27,24,49,26,24,47,146,6,24,44,6,23,47,71,6,43,26,69,4,38,29,24,91,5,70,28,24,122,6,70,29,24,48,171,6,21,46,6,70,28,24,122,6,70,27
W47,18,18,16,1,37,22,16,30,19,19,35,103,3,28,28,23,25,104,26,20,18,64,1,20,30,4,28,20,16,4,28,22,19,3,28,20,20,24,92,31,22,19,37,109,28,22,18,68,4,17,34,4,31,20,20,37,108,4,25,24,22,3,28,25,22,36,111,4,21,32,5,30,26,76,4,28,22,20,3,29,23,23,75,4,31,21,22,74,3,30,21,36,106,20,38,5,34,14,63,4,30,20,18,68,4,527,28,24,72,3,33,25,22,29,21,21,28,99,3,18,38,5,24,49,65,6,28,15,43,3,35,20,20,75,4,70,26,22,118,6,70,22,18,30,140,6,21,40,6,63,22,22,107,6,70,28
W101,46,21,18,4,31,15,16,33,18,15,36,102,3,28,22,20,32,102,42,21,20,83,4,15,35,4,37,22,14,3,31,20,18,3,37,20,20,36,113,38,18,18,26,100,29,27,24,80,4,16,26,3,29,23,19,32,103,3,38,23,20,4,33,15,15,30,93,4,22,42,6,29,21,66,4,36,25,21,4,30,22,19,71,3,45,26,21,92,5,38,20,33,109,18,38,5,41,23,82,4,38,22,21,81,4,577,35,19,71,3,39,22,20,39,22,20,35,116,4,20,41,6,24,48,64,6,40,14,54,4,51,20,20,91,5,70,25,21,116,6,70,26,22,40,158,6,20,40,6,70,23,21,114,6,70,23
W120,42,23,22,4,36,18,23,RR,23,20,38,RR,1,44,27,23,36,130,48,22,20,90,5,20,38,5,30,25,21,4,33,27,22,4,39,27,22,41,129,43,24,21,44,132,42,28,23,93,5,18,38,5,38,26,22,45,131,5,30,26,22,4,48,24,22,38,132,5,22,42,6,45,24,90,5,37,28,24,5,33,23,20,76,4,52,25,23,100,6,37,25,43,127,19,37,5,32,26,79,4,34,28,24,86,4,624,38,21,78,4,39,26,21,44,23,21,40,128,5,20,38,5,22,47,62,6,45,22,67,4,51,21,20,92,5,70,28,24,122,6,70,24,22,40,156,6,20,43,6,70,24,22,116,6,70,24
O12,39,29,24,5,45,28,23,34,27,20,42,123,5,39,29,23,33,124,34,28,24,86,4,22,35,5,37,27,22,4,32,22,20,3,41,25,21,40,127,33,29,24,40,126,31,27,23,81,4,23,38,6,39,27,22,34,122,4,28,25,21,3,29,25,19,40,113,4,22,41,6,28,25,74,3,29,25,21,4,36,24,20,80,4,46,25,21,92,5,39,26,45,131,18,33,4,34,28,85,4,35,25,21,81,4,608,37,26,85,4,39,28,23,34,24,20,41,119,4,22,45,6,23,47,70,6,20,26,46,1,31,26,22,79,4,70,28,23,121,6,70,27,23,47,167,6,24,47,6,65,27,23,115,6,49,28
O41,18,29,23,1,39,26,21,36,19,19,26,100,3,42,20,21,40,123,32,25,23,80,4,21,37,5,23,25,22,1,22,24,21,1,37,20,19,38,114,34,19,17,36,106,22,19,18,59,1,21,39,6,31,27,22,42,122,4,28,26,22,4,25,14,20,37,99,3,22,38,6,33,28,84,4,28,28,23,4,36,28,23,87,4,47,26,22,95,5,39,26,40,126,22,39,6,31,27,80,4,34,25,24,83,4,624,33,26,81,4,32,27,23,43,28,23,44,138,5,21,44,6,24,44,68,6,31,27,58,3,37,26,21,84,4,70,27,23,120,6,63,27,23,47,160,6,22,46,6,65,27,22,114,6,70,27
W91,32,24,22,4,38,26,20,38,25,22,40,125,5,33,27,24,44,128,44,26,23,93,5,22,45,6,47,28,20,5,31,29,24,4,33,23,20,22,98,40,25,22,41,128,24,27,24,79,4,23,46,6,35,28,24,39,126,5,23,27,23,4,33,24,22,39,118,4,22,45,6,39,27,89,5,36,25,22,4,31,26,23,80,4,46,26,22,94,5,42,24,38,124,22,39,6,31,17,67,4,28,25,22,75,4,591,43,23,85,4,48,24,22,50,28,23,35,136,5,21,40,6,22,40,71,6,49,24,73,5,44,26,22,92,5,70,24,20,114,6,70,27,23,45,165,6,22,43,6,70,23,22,115,6,70,24
W86,24,17,22,4,41,24,17,35,25,20,40,120,4,41,25,24,38,128,48,26,23,97,5,21,44,6,37,26,25,5,38,29,24,5,47,27,22,33,129,52,27,22,43,144,35,27,23,85,4,22,39,6,52,24,24,43,143,6,35,28,23,4,41,26,24,42,133,5,21,42,6,38,23,82,4,47,24,22,5,36,26,24,86,4,49,29,23,101,6,48,24,41,133,22,43,6,39,22,81,4,31,25,21,77,4,633,33,25,79,4,44,27,24,41,26,24,41,132,5,23,41,6,21,43,68,6,48,22,70,5,35,28,23,86,4,70,26,22,118,6,65,21,22,46,154,6,22,43,6,70,27,24,121,6,70,27
O35,23,28,23,1,30,24,20,35,20,18,40,113,4,52,23,20,35,130,29,25,19,73,3,20,37,5,28,26,23,4,33,25,18,4,41,23,19,32,115,32,20,16,30,98,16,17,15,48,1,20,30,4,22,29,24,33,108,1,29,26,22,4,21,26,22,30,99,1,20,28,4,24,25,70,1,16,25,21,1,34,25,20,79,4,29,28,23,80,4,38,27,43,130,18,30,4,33,28,84,4,40,28,23,91,5,600,21,29,81,4,38,27,22,31,24,20,40,115,4,22,41,6,23,45,68,6,39,26,65,4,40,26,22,88,5,58,29,23,110,6,70,28,23,48,169,6,23,44,6,70,28,23,121,6,70,29
O26,43,29,24,5,43,26,22,41,20,22,38,121,4,38,28,23,40,129,32,26,21,79,4,21,36,5,41,28,21,5,29,19,16,4,51,26,22,40,139,28,27,22,40,117,30,15,19,64,4,23,40,6,34,28,23,33,118,4,42,26,22,5,29,23,22,40,114,4,22,39,6,31,29,84,4,37,29,24,5,44,28,23,95,5,31,29,24,84,4,47,27,40,136,15,25,3,30,29,83,4,39,27,24,90,5,609,31,26,79,4,35,29,24,49,29,24,47,149,6,24,43,6,23,47,70,6,47,29,76,5,38,26,22,86,4,65,28,22,115,6,68,27,22,46,163,6,23,45,6,67,27,23,117,6,63,28
W99,36,25,24,4,44,24,23,52,27,24,45,148,6,41,26,21,45,133,40,26,24,90,5,24,38,6,51,30,25,6,33,28,24,4,57,29,24,49,159,45,28,23,40,136,49,27,23,99,5,24,44,6,53,28,24,49,154,6,43,28,24,5,43,29,24,45,141,6,24,45,6,49,29,102,6,51,29,24,6,48,27,24,99,5,44,29,23,96,5,56,26,47,152,24,48,6,47,29,100,6,40,29,24,93,5,707,41,29,94,5,42,28,24,42,24,24,47,137,5,23,46,6,23,46,72,6,51,22,73,5,48,22,21,91,5,70,29,24,123,6,70,29,24,48,171,6,22,44,6,70,26,23,119,6,70,28
W37,41,25,23,5,48,22,20,47,25,20,38,130,5,42,25,24,40,131,45,22,19,86,4,24,46,6,51,24,20,5,38,28,24,5,45,28,23,30,126,44,27,22,43,136,59,23,23,105,6,22,40,6,43,25,23,46,137,5,39,25,23,4,47,26,23,44,140,6,22,37,6,43,26,92,5,43,22,21,4,41,28,22,91,5,56,29,23,108,6,43,25,38,127,23,42,6,46,20,86,4,42,25,20,87,4,658,50,26,98,5,57,25,23,55,29,23,35,142,6,22,42,6,24,47,71,6,54,27,81,6,29,26,22,77,4,53,28,23,104,6,70,26,22,43,161,6,22,45,6,56,25,22,103,6,65,26
O8,20,22,24,1,46,29,23,34,28,24,22,108,4,42,25,22,45,134,43,29,24,96,5,21,39,6,28,28,24,4,51,23,23,5,46,24,21,42,133,43,25,24,40,132,43,23,24,90,5,24,38,6,44,29,24,42,139,5,48,28,23,5,34,29,24,36,123,5,24,45,6,41,28,92,5,33,28,23,4,39,25,21,85,4,48,29,24,101,6,52,29,44,149,24,36,6,43,29,96,5,36,29,24,89,5,679,35,28,86,4,51,26,22,43,29,24,43,139,5,24,46,6,24,47,71,6,42,29,71,5,48,29,24,101,6,61,29,24,114,6,68,29,24,48,169,6,24,47,6,47,29,24,100,6,42,29
W62,28,19,21,4,32,16,19,32,18,20,32,102,3,39,26,21,45,131,34,22,20,76,4,20,39,5,40,23,19,4,19,21,20,1,39,24,20,38,121,39,22,20,34,115,31,28,24,83,4,18,40,5,39,28,19,43,129,5,31,27,24,4,33,25,22,40,120,4,21,40,6,29,28,80,4,31,27,23,4,41,26,23,90,5,31,26,22,79,4,45,25,41,133,20,40,6,32,25,77,4,28,24,22,74,3,603,33,25,78,4,37,22,22,36,27,22,40,125,5,23,45,6,23,39,64,6,30,27,57,3,42,23,22,87,4,70,25,22,117,6,70,28,22,41,161,6,23,45,6,70,21,21,112,6,70,25
W23,32,20,19,3,34,17,17,28,18,18,36,100,3,38,21,19,30,108,32,22,21,75,4,18,30,4,41,23,12,4,34,18,15,4,30,20,19,34,103,28,17,17,24,86,25,28,24,80,4,14,25,4,34,22,21,35,112,4,23,18,15,2,29,15,15,32,91,4,18,32,4,30,13,55,3,36,24,20,4,28,20,18,66,4,37,26,21,84,4,36,21,36,112,20,36,5,28,24,73,3,35,23,22,80,4,556,42,22,81,4,28,22,18,28,21,19,35,103,3,18,35,5,22,40,67,6,30,15,45,2,31,21,19,71,3,70,24,21,115,6,63,26,22,40,151,6,20,40,5,70,19,19,108,6,68,24
W119,42,29,25,5,60,26,24,56,29,24,45,154,6,47,28,24,42,141,50,28,24,102,6,24,47,6,49,30,25,6,61,29,24,6,54,28,23,46,151,56,28,24,48,156,53,28,22,103,6,24,46,6,40,28,23,49,140,6,44,27,24,5,49,29,24,40,142,6,23,44,6,34,29,87,4,45,28,24,5,52,28,24,104,6,45,28,23,96,5,52,28,47,151,23,46,6,44,29,97,5,40,28,24,92,5,710,48,29,101,6,48,28,24,50,25,24,45,144,6,24,45,6,22,37,71,6,48,23,71,5,31,29,24,84,4,70,27,22,119,6,70,29,24,45,168,6,20,46,6,70,27,24,121,6,70,24
O23,28,28,24,4,55,28,23,32,30,22,30,114,4,51,24,22,42,139,39,29,24,92,5,22,42,6,35,30,24,5,30,28,22,4,46,23,21,46,136,50,29,24,45,148,39,27,24,90,5,23,40,6,47,29,24,44,144,6,30,29,24,4,28,29,24,38,119,4,24,38,6,42,28,93,5,31,28,23,4,32,29,24,85,4,48,29,24,101,6,46,27,44,139,24,32,6,35,28,86,4,32,28,24,84,4,643,40,29,93,5,50,29,24,32,28,23,48,131,5,21,45,6,24,46,70,6,44,29,73,5,36,29,24,89,5,70,29,24,123,6,70,29,24,48,171,6,24,47,6,70,29,24,123,6,56,29
O64,56,29,24,6,47,26,21,32,21,19,38,110,4,57,27,20,33,137,40,26,22,88,5,21,37,5,52,25,21,5,35,18,19,3,46,28,23,39,136,45,27,22,36,130,38,15,18,71,3,23,32,5,34,27,22,35,118,4,28,24,20,3,37,24,23,36,120,4,20,39,6,30,25,76,4,34,25,21,4,34,26,22,82,4,46,29,24,99,5,34,27,44,127,19,40,5,24,28,79,4,38,29,24,91,5,625,32,28,83,4,40,28,24,42,25,21,46,134,5,21,46,6,24,49,73,6,30,25,55,3,37,25,21,83,4,58,29,24,111,6,70,29,24,46,169,6,23,46,6,70,29,24,123,6,70,29
W34,40,29,23,5,43,23,22,38,28,18,44,128,5,51,27,22,43,143,29,22,19,70,3,18,36,5,53,25,19,5,37,20,18,4,40,26,21,42,129,43,25,23,36,127,36,28,23,87,4,20,43,6,46,28,24,49,147,6,47,26,21,5,44,27,24,40,135,5,24,45,6,35,23,78,4,31,27,23,4,34,26,20,80,4,34,28,23,85,4,50,26,40,139,21,42,6,39,26,86,4,33,28,24,85,4,626,51,26,95,5,41,23,21,47,21,24,38,130,5,24,46,6,24,47,73,6,41,22,63,4,58,20,20,98,5,70,25,22,117,6,70,25,23,48,166,6,22,47,6,70,26,23,119,6,70,24
W12,34,28,24,4,45,18,19,39,19,20,39,117,4,45,28,23,43,139,32,20,19,71,3,22,45,6,34,29,24,4,35,22,20,4,29,25,21,40,115,42,23,20,47,132,35,29,23,87,4,20,43,6,50,25,22,41,138,5,28,25,24,4,42,29,24,44,139,5,24,47,6,32,18,66,4,30,26,22,4,26,23,22,73,3,43,28,23,94,5,47,26,46,142,23,43,6,36,25,82,4,34,25,23,82,4,631,34,23,77,4,43,25,23,49,22,23,47,141,6,22,37,5,24,48,68,6,46,26,72,5,42,25,23,90,5,70,27,22,119,6,70,28,24,48,170,6,22,48,6,70,24,23,117,6,70,28
O102,17,29,24,1,41,27,22,28,23,18,34,103,3,56,27,22,35,140,40,27,24,91,5,23,39,6,46,26,21,5,29,26,21,4,45,28,23,38,134,40,29,24,42,135,33,20,23,76,4,24,40,6,36,29,24,34,123,5,29,25,21,4,28,22,22,40,112,4,21,38,6,29,25,75,4,36,25,21,4,29,28,23,80,4,37,28,23,88,5,49,29,48,150,23,40,6,37,26,84,4,32,28,23,83,4,648,28,29,81,4,39,29,24,34,26,22,48,130,5,23,45,6,24,48,72,6,29,26,55,3,32,28,23,83,4,67,28,24,119,6,70,29,24,49,172,6,24,48,6,70,29,24,123,6,49,28
W28,34,23,24,4,46,20,19,43,19,22,40,124,5,43,28,23,25,119,43,20,20,83,4,22,42,6,33,29,25,4,28,26,23,4,46,26,21,42,135,41,27,23,36,127,24,29,22,79,4,22,40,6,47,25,22,39,133,5,36,22,22,4,33,26,22,44,125,5,21,40,6,35,19,70,3,30,27,22,4,29,23,23,75,4,29,27,22,78,4,40,25,40,127,21,41,6,32,22,72,3,28,23,21,72,3,570,36,21,75,4,30,26,22,41,23,24,38,126,5,21,41,6,22,38,72,6,47,24,71,5,38,29,24,91,5,70,28,23,121,6,70,29,24,46,169,6,20,43,6,70,24,22,116,6,56,25
O15,25,29,24,4,38,28,22,30,21,20,30,101,3,45,25,22,45,137,39,29,24,92,5,21,37,5,29,26,23,4,28,13,16,2,43,19,16,37,115,37,20,17,41,115,28,25,21,74,3,22,43,6,40,27,22,37,126,5,28,26,22,4,23,23,16,36,101,3,20,30,5,38,28,89,5,28,28,23,4,25,25,21,74,3,39,26,22,87,4,31,23,42,115,22,42,6,35,28,86,4,32,23,24,79,4,592,35,26,83,4,34,27,23,41,28,23,42,134,5,21,45,6,23,36,59,5,34,26,60,4,34,26,21,81,4,63,28,24,115,6,70,28,24,48,170,6,23,47,6,60,28,23,111,6,46,28
W5,52,25,24,6,39,20,21,40,20,22,37,119,4,43,27,22,32,124,47,23,20,90,5,22,44,6,53,24,22,5,31,21,18,3,39,26,21,42,128,44,24,20,32,120,43,27,23,93,5,21,43,6,32,25,22,40,119,4,38,27,22,4,38,26,21,44,129,5,22,41,6,29,29,82,4,37,26,21,4,37,25,23,85,4,38,25,22,85,4,39,26,45,132,20,40,6,33,25,79,4,32,25,22,79,4,603,34,25,79,4,40,22,21,38,25,21,38,122,4,21,42,6,24,48,68,6,39,15,54,4,31,21,20,72,3,70,24,20,114,6,58,28,24,46,156,6,21,43,6,70,25,23,118,6,70,25
W123,34,17,16,4,34,25,22,33,22,19,28,102,3,29,23,17,33,102,19,19,17,55,1,20,27,4,28,19,15,2,31,21,19,3,28,21,18,40,107,38,25,20,31,114,31,20,18,69,3,20,43,6,35,22,24,37,118,4,28,24,21,3,31,24,19,36,110,4,21,42,6,36,24,79,4,37,23,19,4,28,23,20,71,3,32,21,19,72,3,37,21,41,117,18,38,5,28,15,60,2,28,19,17,64,4,524,35,23,77,4,36,19,16,34,20,20,28,102,3,20,28,4,22,38,55,5,30,12,42,3,34,16,15,65,4,70,25,21,116,6,70,23,19,38,150,6,21,35,5,70,22,20,112,6,70,25
W33,46,28,24,5,55,16,21,35,20,23,39,117,4,42,27,22,40,131,44,21,19,84,4,23,44,6,47,24,17,5,29,22,22,3,34,24,19,38,115,42,24,22,40,128,28,29,23,80,4,18,39,5,43,25,21,44,133,5,37,24,20,4,33,25,22,40,120,4,22,43,6,29,18,62,2,33,26,22,4,39,17,20,76,4,39,27,22,88,5,31,25,41,118,21,42,6,28,18,61,2,34,23,21,78,4,571,42,17,71,3,35,19,21,37,23,21,40,121,4,19,36,5,24,47,64,6,40,23,63,4,42,23,21,86,4,70,26,21,117,6,70,25,22,40,157,6,20,39,5,49,24,22,95,5,70,23
O6,23,20,20,4,57,27,20,30,17,17,24,88,4,30,22,20,40,112,30,19,20,69,3,22,30,4,30,19,18,4,29,20,18,4,35,17,16,43,111,41,17,18,48,124,20,13,19,52,1,22,35,5,37,28,23,42,130,5,36,28,23,4,37,27,22,45,131,5,24,41,6,34,28,85,4,33,28,23,4,32,26,22,80,4,31,26,22,79,4,47,29,47,147,23,45,6,38,27,87,4,33,28,24,85,4,644,37,26,85,4,47,28,24,35,28,23,46,132,5,22,48,6,24,47,71,6,33,29,62,4,44,27,22,93,5,70,28,23,121,6,70,28,23,47,168,6,24,48,6,70,28,23,121,6,54,28
